Wealth,ticks
14,0
30,0
20,0
79,0
49,0
35,0
17,0
35,0
0,0
0,0
44,0
35,0
24,0
35,0
48,0
62,0
59,0
29,0
56,0
52,0
76,0
25,0
41,0
98,0
30,0
37,0
22,0
11,0
114,0
54,0
85,0
23,0
40,0
42,0
31,0
64,0
73,0
15,0
14,0
38,0
37,0
13,0
33,0
27,0
32,0
30,0
56,0
27,0
22,0
58,0
60,1
9,1
85,1
40,1
81,1
90,1
147,1
112,1
0,1
89,1
101,1
62,1
91,1
76,1
103,1
67,1
20,1
24,1
64,1
4,1
66,1
8,1
143,1
70,1
74,1
90,1
81,1
111,1
88,1
46,1
50,1
26,1
82,1
33,1
28,1
0,1
73,1
114,1
78,1
82,1
28,1
147,1
127,1
25,1
74,1
0,1
73,1
34,1
30,1
39,1
12,2
105,2
20,2
84,2
27,2
37,2
54,2
59,2
80,2
40,2
41,2
49,2
9,2
45,2
28,2
58,2
16,2
20,2
50,2
142,2
54,2
42,2
49,2
30,2
57,2
25,2
18,2
66,2
51,2
30,2
9,2
18,2
61,2
33,2
11,2
80,2
62,2
42,2
28,2
51,2
17,2
62,2
57,2
24,2
66,2
100,2
65,2
45,2
28,2
14,2
64,3
54,3
59,3
30,3
84,3
88,3
74,3
4,3
52,3
57,3
111,3
34,3
80,3
13,3
38,3
29,3
17,3
15,3
29,3
50,3
41,3
43,3
115,3
106,3
20,3
61,3
0,3
13,3
15,3
15,3
111,3
4,3
37,3
34,3
74,3
24,3
52,3
69,3
37,3
21,3
6,3
39,3
22,3
22,3
51,3
17,3
49,3
42,3
29,3
103,3
28,4
2,4
35,4
34,4
34,4
14,4
9,4
23,4
25,4
44,4
53,4
20,4
35,4
77,4
2,4
80,4
16,4
10,4
8,4
44,4
29,4
42,4
33,4
46,4
58,4
7,4
50,4
99,4
66,4
16,4
22,4
0,4
12,4
33,4
11,4
90,4
43,4
21,4
31,4
95,4
0,4
45,4
20,4
20,4
36,4
90,4
32,4
40,4
26,4
12,4
68,5
29,5
11,5
34,5
50,5
140,5
139,5
4,5
56,5
31,5
114,5
6,5
78,5
13,5
77,5
7,5
14,5
4,5
51,5
31,5
17,5
41,5
126,5
78,5
23,5
51,5
37,5
15,5
1,5
11,5
115,5
69,5
78,5
32,5
35,5
47,5
32,5
97,5
24,5
28,5
99,5
44,5
18,5
17,5
21,5
40,5
15,5
37,5
23,5
56,5
22,6
15,6
118,6
33,6
37,6
47,6
41,6
100,6
47,6
18,6
45,6
120,6
35,6
117,6
3,6
37,6
0,6
47,6
40,6
18,6
4,6
40,6
41,6
49,6
92,6
17,6
24,6
63,6
98,6
6,6
24,6
24,6
40,6
31,6
8,6
4,6
20,6
18,6
16,6
88,6
7,6
43,6
16,6
14,6
6,6
140,6
72,6
34,6
20,6
10,6
110,7
1,7
39,7
32,7
24,7
74,7
69,7
35,7
37,7
5,7
52,7
46,7
149,7
35,7
104,7
5,7
110,7
20,7
29,7
5,7
43,7
39,7
118,7
20,7
28,7
78,7
11,7
1,7
12,7
1,7
104,7
46,7
2,7
30,7
58,7
21,7
8,7
98,7
8,7
38,7
80,7
42,7
14,7
11,7
72,7
45,7
28,7
31,7
17,7
107,7
29,8
107,8
98,8
31,8
11,8
4,8
8,8
86,8
27,8
56,8
27,8
125,8
50,8
108,8
17,8
94,8
22,8
74,8
17,8
43,8
8,8
38,8
35,8
117,8
114,8
2,8
52,8
118,8
128,8
18,8
19,8
40,8
21,8
29,8
10,8
0,8
75,8
49,8
0,8
122,8
39,8
41,8
12,8
8,8
9,8
131,8
60,8
28,8
14,8
8,8
100,9
37,9
22,9
30,9
120,9
84,9
123,9
4,9
17,9
32,9
2,9
40,9
95,9
9,9
53,9
35,9
54,9
23,9
5,9
21,9
52,9
37,9
89,9
18,9
49,9
10,9
44,9
31,9
30,9
9,9
120,9
34,9
2,9
28,9
108,9
54,9
41,9
0,9
59,9
23,9
116,9
40,9
10,9
5,9
107,9
41,9
19,9
25,9
11,9
87,9
